Country_Name,Year_Recorded,Temperature,Humidity,Wind Speed,Precipitation,CO2 Emissions,Sea Level Rise
Tokelau,2015-01-01 00:40:10.801080064,12.741450382289475,8.473789750320027,44.22853183098237,78.71949358270615,375.85971929432606,2.4774317622607054
Taiwan,2015-01-01 20:49:54.059405888,6.212111019117744,55.34439338356272,21.04786006109257,13.32114561536103,403.6306143583601,1.3192021277446908
Greenland,2015-01-02 16:59:37.317731712,9.918465754689816,18.44372167939252,47.515680492477074,45.43051738542775,300.8778857849617,-1.781389648427158
Senegal,2015-01-03 13:09:20.576057600,13.328438238889351,42.86805097055145,19.477357170471123,17.386989677170707,465.4140725664128,-1.160129919077111
Serbia,2015-01-04 09:19:03.834383424,11.15376537384778,69.96146876618322,17.65136522661231,80.24653867484388,479.3946604196367,1.534662219438524
Nepal,2015-01-05 05:28:47.092709248,4.470191145432414,67.45564007140084,43.853363660645805,88.5179603562203,394.40635015865126,0.2555108455274583
Malta,2015-01-06 01:38:30.351035072,13.471556919524406,53.12386387540949,25.257961959793253,93.96903024117525,369.2587782315024,0.2563101080678333
Liberia,2015-01-06 21:48:13.609360896,14.73607931331971,74.23650486249876,25.241071508080648,76.07630830556238,346.6079338023173,-1.355114713892794
Norway,2015-01-07 17:57:56.867686720,20.029809289667284,57.605288821812785,24.904717872536903,95.61833749261326,496.6789893527281,-1.16145903165075
United States of America,2015-01-08 14:07:40.126012544,11.207690304080549,41.330549614242486,38.192715957789034,83.2284801555063,296.7327774117465,-1.5058101084226894
Kyrgyz Republic,2015-01-09 10:17:23.384338432,4.252250027575652,8.568262178029851,48.051538225045725,41.373391082215186,331.6883692346084,0.6899283422257241
Macao,2015-01-10 06:27:06.642664256,17.617951547155524,29.34256680968644,30.17099993171199,74.26174086865794,365.8885955329611,-0.1798310843529661
Kenya,2015-01-11 02:36:49.900990080,14.112732139506946,31.092615177348215,28.71979043815374,60.2324904124389,359.88766179798097,-0.0748048575001536
Tanzania,2015-01-11 22:46:33.159315904,10.219162499711151,46.559196951664774,30.08048719033675,20.02038092382601,449.15972065474136,-0.8783719707938104
Spain,2015-01-12 18:56:16.417641728,18.011166320804655,1.537514900785486,46.051979414212695,56.40633093913918,451.6543486889234,0.3413798939986286
